id	name	xqid	latitude	longitude	country_id
494	Jambol	JAM	42.45489883	26.35219955	22
495	Pleven	PVN	43.45140076	24.50279999	22
496	Plovdiv	PDV	42.06779861	24.85079956	22
497	Silistra	SLS	44.05519867	27.17880058	22
498	Sofia	SOF	42.69669342	23.41143608	22
499	Stara Zagora	SZR	42.37670136	25.65519905	22
500	Varna	VAR	43.23210144	27.82509995	22
501	Vidin	VID	44.0223999	22.81609917	22
502	Al Muharraq	BAH	26.27079964	50.63359833	23
503	Bujumbura	BJM	-3.324019909	29.31850052	24
504	Gitega	GID	-3.417209387	29.91130829	24
505	Kirundo	KRE	-2.544772	30.094575	24
506	Cotonou	COO	6.357230187	2.384350061	25
507	Djougou	DJA	9.692083333	1.637777778	25
508	Kandi	KDC	11.13300037	2.933000088	25
509	Natitingou	NAE	10.31700039	1.383000016	25
510	Parakou	PKO	9.357689858	2.609679937	25
511	Savé	SVF	8.018170357	2.464580059	25
512	Bandar Seri Begawan	BWN	4.944200039	114.9280014	28
513	Apolo	APB	-14.73560047	-68.41190338	29
